Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CognitiveComplexity,HalsteadMaintainIdx
Public Method,"module.exports.revoke",,,,,,,,,,,,,,,,,,,,,,,,25,3,22,0,8,2,7,3,,,2,,3,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.revoke",,,,,,,,,,,,,,,,,,,,,,,,21,3,18,0,7,2,6,3,,,2,,3,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.revokeClientCertificate",,,,,,,,,,,,,,,,,,,,,,,,23,5,18,0,7,1,7,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.revokeLicense",,,,,,,,,,,,,,,,,,,,,,,,34,5,29,0,9,1,9,4,,,2,,5,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"module.exports.revokeLicense.(for_1).(unnamed_function_5)",,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.revokeLicenseFromPayment",,,,,,,,,,,,,,,,,,,,,,,,23,3,20,0,5,2,4,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.setNonce",,,,,,,,,,,,,,,,,,,,,,,,11,2,9,0,6,3,5,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.signCSR",,,,,,,,,,,,,,,,,,,,,,,,70,12,58,0,24,13,21,1,,,0,,2,0,0,"0,00","0,00",,"0,00"
Unnamed Function,"module.exports.signCSR.subjectAttrs.(unnamed_function_2)",,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,0,,1,0,0,"0,00","0,00",,"0,00"
Public Method,"module.exports.signResponse",,,,,,,,,,,,,,,,,,,,,,,,15,3,12,0,6,3,5,2,,,1,,2,0,0,"0,00","0,00",,"0,00"
